communityID,province,province_eng,city,city_eng,urban_nbs,areatype,versionID
1340042,¸ÊËàÊ¡,Gansu,À¼ÖÝÊÐ,Lanzhou,1,111,20151118
1340043,¸ÊËàÊ¡,Gansu,À¼ÖÝÊÐ,Lanzhou,1,111,20151118
1349021,¸ÊËàÊ¡,Gansu,¶¨Î÷ÊÐ,Dingxi,0,220,20151118
1349022,¸ÊËàÊ¡,Gansu,¶¨Î÷ÊÐ,Dingxi,1,121,20151118
1349023,¸ÊËàÊ¡,Gansu,¶¨Î÷ÊÐ,Dingxi,0,220,20151118
1355591,¸ÊËàÊ¡,Gansu,Æ½Á¹ÊÐ,Pingliang,0,220,20151118
1355592,¸ÊËàÊ¡,Gansu,Æ½Á¹ÊÐ,Pingliang,0,220,20151118
1355593,¸ÊËàÊ¡,Gansu,Æ½Á¹ÊÐ,Pingliang,0,220,20151118
1382021,¸ÊËàÊ¡,Gansu,ÕÅÒ´ÊÐ,Zhangye,0,220,20151118
1382022,¸ÊËàÊ¡,Gansu,ÕÅÒ´ÊÐ,Zhangye,1,121,20151118
1382023,¸ÊËàÊ¡,Gansu,ÕÅÒ´ÊÐ,Zhangye,0,220,20151118
1411541,ºÚÁú½­Ê¡,Heilongjiang,¼¦Î÷ÊÐ,Jixi,0,220,20151118
1411542,ºÚÁú½­Ê¡,Heilongjiang,¼¦Î÷ÊÐ,Jixi,1,111,20151118
1411543,ºÚÁú½­Ê¡,Heilongjiang,¼¦Î÷ÊÐ,Jixi,0,220,20151118
1424031,ºÚÁú½­Ê¡,Heilongjiang,ÆëÆë¹þ¶ûÊÐ,Qiqihar,1,121,20151118
1424032,ºÚÁú½­Ê¡,Heilongjiang,ÆëÆë¹þ¶ûÊÐ,Qiqihar,1,121,20151118
1424033,ºÚÁú½­Ê¡,Heilongjiang,ÆëÆë¹þ¶ûÊÐ,Qiqihar,1,121,20151118
1440161,ºÚÁú½­Ê¡,Heilongjiang,¹þ¶û±õÊÐ,Harbin,1,111,20151118
1440162,ºÚÁú½­Ê¡,Heilongjiang,¹þ¶û±õÊÐ,Harbin,1,111,20151118
1440163,ºÚÁú½­Ê¡,Heilongjiang,¹þ¶û±õÊÐ,Harbin,1,111,20151118
1455281,ºÚÁú½­Ê¡,Heilongjiang,¼ÑÄ¾Ë¹ÊÐ,Jiamusi,1,111,20151118
1455282,ºÚÁú½­Ê¡,Heilongjiang,¼ÑÄ¾Ë¹ÊÐ,Jiamusi,1,111,20151118
1455283,ºÚÁú½­Ê¡,Heilongjiang,¼ÑÄ¾Ë¹ÊÐ,Jiamusi,1,111,20151118
1504781,¹ã¶«Ê¡,Guangdong,·ðÉ½ÊÐ,Foshan,1,112,20151118
1504782,¹ã¶«Ê¡,Guangdong,·ðÉ½ÊÐ,Foshan,1,112,20151118
1504783,¹ã¶«Ê¡,Guangdong,·ðÉ½ÊÐ,Foshan,1,112,20151118
1511561,¹ã¶«Ê¡,Guangdong,ÉîÛÚÊÐ,Shenzhen,1,111,20151118
1511562,¹ã¶«Ê¡,Guangdong,ÉîÛÚÊÐ,Shenzhen,1,112,20151118
1511563,¹ã¶«Ê¡,Guangdong,ÉîÛÚÊÐ,Shenzhen,1,111,20151118
1538591,¹ã¶«Ê¡,Guangdong,³±ÖÝÊÐ,Chaozhou,1,122,20151118
1538592,¹ã¶«Ê¡,Guangdong,³±ÖÝÊÐ,Chaozhou,0,220,20151118
1538593,¹ã¶«Ê¡,Guangdong,³±ÖÝÊÐ,Chaozhou,1,121,20151118
1540441,¹ã¶«Ê¡,Guangdong,¹ãÖÝÊÐ,Guangzhou,1,121,20151118
1540442,¹ã¶«Ê¡,Guangdong,¹ãÖÝÊÐ,Guangzhou,0,220,20151118
1540443,¹ã¶«Ê¡,Guangdong,¹ãÖÝÊÐ,Guangzhou,1,112,20151118
1540581,¹ã¶«Ê¡,Guangdong,¹ãÖÝÊÐ,Guangzhou,1,111,20151118
1540582,¹ã¶«Ê¡,Guangdong,¹ãÖÝÊÐ,Guangzhou,1,112,20151118
1540583,¹ã¶«Ê¡,Guangdong,¹ãÖÝÊÐ,Guangzhou,1,111,20151118
1546281,¹ã¶«Ê¡,Guangdong,Ã¯ÃûÊÐ,Maoming,0,220,20151118
1546282,¹ã¶«Ê¡,Guangdong,Ã¯ÃûÊÐ,Maoming,0,220,20151118
1546283,¹ã¶«Ê¡,Guangdong,Ã¯ÃûÊÐ,Maoming,1,122,20151118
1546311,¹ã¶«Ê¡,Guangdong,Ã¯ÃûÊÐ,Maoming,0,220,20151118
1546312,¹ã¶«Ê¡,Guangdong,Ã¯ÃûÊÐ,Maoming,1,122,20151118
1546313,¹ã¶«Ê¡,Guangdong,Ã¯ÃûÊÐ,Maoming,1,111,20151118
1546761,¹ã¶«Ê¡,Guangdong,Ã¯ÃûÊÐ,Maoming,1,121,20151118
1546762,¹ã¶«Ê¡,Guangdong,Ã¯ÃûÊÐ,Maoming,0,220,20151118
1546763,¹ã¶«Ê¡,Guangdong,Ã¯ÃûÊÐ,Maoming,0,220,20151118
1556761,¹ã¶«Ê¡,Guangdong,ÇåÔ¶ÊÐ,Qingyuan,0,220,20151118
1556762,¹ã¶«Ê¡,Guangdong,ÇåÔ¶ÊÐ,Qingyuan,1,121,20151118
1556763,¹ã¶«Ê¡,Guangdong,ÇåÔ¶ÊÐ,Qingyuan,1,121,20151118
1582311,¹ã¶«Ê¡,Guangdong,½­ÃÅÊÐ,Jiangmen,1,111,20151118
1582312,¹ã¶«Ê¡,Guangdong,½­ÃÅÊÐ,Jiangmen,1,121,20151118
1582313,¹ã¶«Ê¡,Guangdong,½­ÃÅÊÐ,Jiangmen,0,220,20151118
1582781,¹ã¶«Ê¡,Guangdong,½­ÃÅÊÐ,Jiangmen,0,220,20151118
1582782,¹ã¶«Ê¡,Guangdong,½­ÃÅÊÐ,Jiangmen,1,112,20151118
1582783,¹ã¶«Ê¡,Guangdong,½­ÃÅÊÐ,Jiangmen,1,122,20151118
