ID,householdID,communityID,HH_weight,HH_weight_ad1,INDV_weight,INDV_weight_ad2,versionID
194037316001,1940373160,1940373,36392.7734375,38598.39607007575,39250.1640625,47698.12546359883,20200914
194037316002,1940373160,1940373,36392.7734375,38598.39607007575,38090.28515625,44778.167216962946,20200914
194037314001,1940373140,1940373,36392.7734375,38598.39607007575,39221.74609375,48161.959140373045,20200914
194037314002,1940373140,1940373,36392.7734375,38598.39607007575,38015.6328125,45016.84089085761,20200914
194037321001,1940373210,1940373,36392.7734375,38598.39607007575,38159.51953125,46778.71954500749,20200914
194037306002,1940373060,1940373,36392.7734375,38598.39607007575,38065.0234375,44748.470052404184,20200914
194037325002,1940373250,1940373,36392.7734375,38598.39607007575,39124.49609375,48000.211155650686,20200914
194037325001,1940373250,1940373,36392.7734375,38598.39607007575,37975.58203125,44936.216856089806,20200914
194037351001,1940373510,1940373,27294.579570370923,28948.796514029764,28948.796514029764,36221.723244600566,20200914
194037308002,1940373080,1940373,36392.7734375,38598.39607007575,37999.48828125,46619.98602962324,20200914
194037308001,1940373080,1940373,36392.7734375,38598.39607007575,37999.48828125,44964.50493955702,20200914
194037307001,1940373070,1940373,36392.7734375,38598.39607007575,39250.1640625,47779.71253435243,20200914
194037307002,1940373070,1940373,36392.7734375,38598.39607007575,38065.0234375,44748.470052404184,20200914
194037326001,1940373260,1940373,36392.7734375,38598.39607007575,39250.1640625,47698.12546359883,20200914
194037326002,1940373260,1940373,36392.7734375,38598.39607007575,38124.5546875,44754.42511628162,20200914
194037348001,1940373480,1940373,36392.7734375,38598.39607007575,39138.1796875,48016.99898565351,20200914
194037348002,1940373480,1940373,36392.7734375,38598.39607007575,37967.69140625,45674.64433687017,20200914
194037328001,1940373280,1940373,36392.7734375,38598.39607007575,38213.296875,49329.17377328471,20200914
194037347002,1940373470,1940373,36392.7734375,38598.39607007575,39110.87890625,47983.50479670411,20200914
194037347001,1940373470,1940373,36392.7734375,38598.39607007575,37967.69140625,45674.64433687017,20200914
194037341001,1940373410,1940373,36392.7734375,38598.39607007575,39110.87890625,47983.50479670411,20200914
194037341002,1940373410,1940373,36392.7734375,38598.39607007575,37952.03125,45655.805370357164,20200914
194037350001,1940373500,1940373,27294.579570370923,28948.796514029764,28948.796514029764,36221.723244600566,20200914
194037350002,1940373500,1940373,27294.579570370923,28948.796514029764,28948.796514029764,34825.02980260422,20200914
194037324001,1940373240,1940373,36392.7734375,38598.39607007575,39250.1640625,47779.71253435243,20200914
194037324002,1940373240,1940373,36392.7734375,38598.39607007575,38098.7890625,44724.178842086716,20200914
194037302002,1940373020,1940373,36392.7734375,38598.39607007575,39235.91796875,48179.361355538604,20200914
194037302001,1940373020,1940373,36392.7734375,38598.39607007575,38056.6875,44738.67049323171,20200914
194037343001,1940373430,1940373,36392.7734375,38598.39607007575,37944.26171875,45646.458724212396,20200914
194037343003,1940373430,1940373,36392.7734375,38598.39607007575,37944.26171875,47477.15664211329,20200914
194037332001,1940373320,1940373,36392.7734375,38598.39607007575,39250.1640625,47779.71253435243,20200914
194037332002,1940373320,1940373,36392.7734375,38598.39607007575,38056.6875,44738.67049323171,20200914
194037335002,1940373350,1940373,36392.7734375,38598.39607007575,39179.65234375,48110.27053215251,20200914
194037335001,1940373350,1940373,36392.7734375,38598.39607007575,38015.6328125,45016.84089085761,20200914
