communityID,province,city,urban_nbs,areatype,versionID
2440563,¹ãÎ÷Ê¡,ÄÏÄþÊÐ,0,220,20151118
2446041,¹ãÎ÷Ê¡,ÓñÁÖÊÐ,1,111,20151118
2446042,¹ãÎ÷Ê¡,ÓñÁÖÊÐ,0,220,20151118
2446043,¹ãÎ÷Ê¡,ÓñÁÖÊÐ,0,220,20151118
2446761,¹ãÎ÷Ê¡,ÓñÁÖÊÐ,0,220,20151118
2446762,¹ãÎ÷Ê¡,ÓñÁÖÊÐ,0,220,20151118
2446763,¹ãÎ÷Ê¡,ÓñÁÖÊÐ,0,220,20151118
2616761,°²»ÕÊ¡,ÙñÖÝÊÐ,0,220,20151118
2616762,°²»ÕÊ¡,ÙñÖÝÊÐ,1,121,20151118
2616763,°²»ÕÊ¡,ÙñÖÝÊÐ,0,220,20151118
2627281,°²»ÕÊ¡,¸·ÑôÊÐ,0,220,20151118
2627282,°²»ÕÊ¡,¸·ÑôÊÐ,0,220,20151118
2627283,°²»ÕÊ¡,¸·ÑôÊÐ,0,210,20151118
2653591,°²»ÕÊ¡,»´ÄÏÊÐ,0,220,20151118
2653592,°²»ÕÊ¡,»´ÄÏÊÐ,1,121,20151118
2653593,°²»ÕÊ¡,»´ÄÏÊÐ,0,220,20151118
2655761,°²»ÕÊ¡,°²ÇìÊÐ,0,220,20151118
2655762,°²»ÕÊ¡,°²ÇìÊÐ,0,220,20151118
2655763,°²»ÕÊ¡,°²ÇìÊÐ,0,220,20151118
2660591,°²»ÕÊ¡,ËÞÖÝÊÐ,1,122,20151118
2660592,°²»ÕÊ¡,ËÞÖÝÊÐ,1,122,20151118
2660593,°²»ÕÊ¡,ËÞÖÝÊÐ,1,122,20151118
2663061,°²»ÕÊ¡,Áù°²ÊÐ,1,121,20151118
2663062,°²»ÕÊ¡,Áù°²ÊÐ,0,220,20151118
2663063,°²»ÕÊ¡,Áù°²ÊÐ,0,220,20151118
2686061,°²»ÕÊ¡,³²ºþÊÐ,0,220,20151118
2686062,°²»ÕÊ¡,³²ºþÊÐ,1,121,20151118
2686063,°²»ÕÊ¡,³²ºþÊÐ,0,220,20151118
2704021,ºþ±±Ê¡,Ïå·®ÊÐ,0,220,20151118
2704022,ºþ±±Ê¡,Ïå·®ÊÐ,0,220,20151118
2704023,ºþ±±Ê¡,Ïå·®ÊÐ,1,121,20151118
2718061,ºþ±±Ê¡,¶÷Ê©ÍÁ¼Ò×åÃç×å×ÔÖÎÖÝ,0,220,20151118
2718062,ºþ±±Ê¡,¶÷Ê©ÍÁ¼Ò×åÃç×å×ÔÖÎÖÝ,1,121,20151118
2718063,ºþ±±Ê¡,¶÷Ê©ÍÁ¼Ò×åÃç×å×ÔÖÎÖÝ,0,220,20151118
2749511,ºþ±±Ê¡,»Æ¸ÔÊÐ,0,220,20151118
2749512,ºþ±±Ê¡,»Æ¸ÔÊÐ,1,121,20151118
2749513,ºþ±±Ê¡,»Æ¸ÔÊÐ,0,220,20151118
2755591,ºþ±±Ê¡,¾£ÃÅÊÐ,0,220,20151118
